time,current angle
2.6,1.396263402
4.03,1.335176878
5.36,1.291543646
6.71,1.274090354
8.02,1.239183769
9.32,1.204277184
10.69,1.178097245
11.96,1.160643953
13.27,1.14319066
14.55,1.117010721
15.9,1.099557429
17.19,1.090830782
18.45,1.07337749
19.74,1.047197551
21.05,1.00356432
22.32,0.9861110274
23.59,0.9599310886
24.85,0.9250245036
26.11,0.8988445648
27.39,0.8639379797
28.65,0.837758041
29.93,0.8203047484
31.2,0.8203047484
32.48,0.8115781022
33.71,0.8203047484
34.98,0.8203047484
36.23,0.8203047484
37.48,0.8203047484
38.73,0.8290313947
39.95,0.8290313947
41.22,0.8203047484
42.47,0.8115781022
43.69,0.8028514559
44.94,0.7941248097
46.18,0.7679448709
47.44,0.7504915784
48.68,0.7330382858
49.89,0.7243116396
51.12,0.7068583471
52.4,0.6981317008
53.65,0.6981317008
54.87,0.6981317008
56.09,0.6894050545
57.34,0.6806784083
58.56,0.671951762
59.81,0.671951762
61.01,0.671951762
62.24,0.6632251158
63.48,0.6632251158
64.73,0.6544984695
65.94,0.6457718232
67.15,0.6457718232
68.36,0.637045177
69.61,0.637045177
70.84,0.6195918845
72.06,0.6195918845
73.29,0.6108652382
74.55,0.6021385919
75.74,0.5846852994
76.95,0.5759586532
78.21,0.5672320069
79.43,0.5585053606
80.63,0.5497787144
81.85,0.5410520681
83.12,0.5410520681
84.3,0.5323254219
85.52,0.5235987756
86.73,0.5148721293
87.95,0.4974188368
89.16,0.5148721293
90.38,0.5061454831
91.58,0.4974188368
92.83,0.4974188368
94.03,0.4974188368
95.25,0.4974188368
96.45,0.4974188368
97.7,0.4974188368
98.93,0.4974188368
100.11,0.4974188368
101.31,0.4974188368
102.54,0.4974188368
103.76,0.4886921906
104.97,0.4886921906
106.21,0.4799655443
107.41,0.4799655443
108.61,0.4625122518
109.8,0.4625122518
111.06,0.4625122518
112.21,0.4625122518
113.45,0.4537856055
114.68,0.4450589593
115.88,0.4450589593
117.06,0.436332313
118.25,0.436332313
119.49,0.4276056667
120.72,0.4276056667
121.95,0.4188790205
123.13,0.4101523742
124.35,0.4101523742
125.56,0.4101523742
126.79,0.401425728
128.02,0.401425728
129.22,0.401425728
130.41,0.401425728
131.6,0.3926990817
132.84,0.3926990817
134.03,0.3926990817
135.22,0.3839724354
136.43,0.3839724354
137.63,0.3839724354
138.84,0.3839724354
140.08,0.3839724354
141.26,0.3752457892
142.51,0.3752457892
143.7,0.3752457892
144.9,0.3752457892
146.12,0.3839724354
147.31,0.3839724354
148.5,0.3752457892
149.75,0.3752457892
150.93,0.3752457892
152.14,0.3665191429
153.35,0.3665191429
154.55,0.3490658504
155.71,0.3403392041
156.94,0.3403392041
158.14,0.3403392041
159.35,0.3316125579
160.57,0.3316125579
161.77,0.3403392041
162.96,0.3141592654
164.19,0.3141592654
165.37,0.3141592654
166.61,0.3054326191
167.81,0.3054326191
169.01,0.2967059728
170.19,0.2967059728
171.39,0.2967059728
172.62,0.2879793266
173.79,0.2879793266
175.05,0.2879793266
176.24,0.2879793266
177.43,0.2879793266
178.64,0.2879793266
179.85,0.2879793266
