time	current angle	xerr	yerr
2.6	1.396263402	0.03	0.009
4.03	1.335176878	0.03	0.009
5.36	1.291543646	0.03	0.009
6.71	1.274090354	0.03	0.009
8.02	1.239183769	0.03	0.009
9.32	1.204277184	0.03	0.009
10.69	1.178097245	0.03	0.009
11.96	1.160643953	0.03	0.009
13.27	1.14319066	0.03	0.009
14.55	1.117010721	0.03	0.009
15.9	1.099557429	0.03	0.009
17.19	1.090830782	0.03	0.009
18.45	1.07337749	0.03	0.009
19.74	1.047197551	0.03	0.009
21.05	1.00356432	0.03	0.009
22.32	0.9861110274	0.03	0.009
23.59	0.9599310886	0.03	0.009
24.85	0.9250245036	0.03	0.009
26.11	0.8988445648	0.03	0.009
27.39	0.8639379797	0.03	0.009
28.65	0.837758041	0.03	0.009
29.93	0.8203047484	0.03	0.009
31.2	0.8203047484	0.03	0.009
32.48	0.8115781022	0.03	0.009
33.71	0.8203047484	0.03	0.009
34.98	0.8203047484	0.03	0.009
36.23	0.8203047484	0.03	0.009
37.48	0.8203047484	0.03	0.009
38.73	0.8290313947	0.03	0.009
39.95	0.8290313947	0.03	0.009
41.22	0.8203047484	0.03	0.009
42.47	0.8115781022	0.03	0.009
43.69	0.8028514559	0.03	0.009
44.94	0.7941248097	0.03	0.009
46.18	0.7679448709	0.03	0.009
47.44	0.7504915784	0.03	0.009
48.68	0.7330382858	0.03	0.009
49.89	0.7243116396	0.03	0.009
51.12	0.7068583471	0.03	0.009
52.4	0.6981317008	0.03	0.009
53.65	0.6981317008	0.03	0.009
54.87	0.6981317008	0.03	0.009
56.09	0.6894050545	0.03	0.009
57.34	0.6806784083	0.03	0.009
58.56	0.671951762	0.03	0.009
59.81	0.671951762	0.03	0.009
61.01	0.671951762	0.03	0.009
62.24	0.6632251158	0.03	0.009
63.48	0.6632251158	0.03	0.009
64.73	0.6544984695	0.03	0.009
65.94	0.6457718232	0.03	0.009
67.15	0.6457718232	0.03	0.009
68.36	0.637045177	0.03	0.009
69.61	0.637045177	0.03	0.009
70.84	0.6195918845	0.03	0.009
72.06	0.6195918845	0.03	0.009
73.29	0.6108652382	0.03	0.009
74.55	0.6021385919	0.03	0.009
75.74	0.5846852994	0.03	0.009
76.95	0.5759586532	0.03	0.009
78.21	0.5672320069	0.03	0.009
79.43	0.5585053606	0.03	0.009
80.63	0.5497787144	0.03	0.009
81.85	0.5410520681	0.03	0.009
83.12	0.5410520681	0.03	0.009
84.3	0.5323254219	0.03	0.009
85.52	0.5235987756	0.03	0.009
86.73	0.5148721293	0.03	0.009
87.95	0.4974188368	0.03	0.009
89.16	0.5148721293	0.03	0.009
90.38	0.5061454831	0.03	0.009
91.58	0.4974188368	0.03	0.009
92.83	0.4974188368	0.03	0.009
94.03	0.4974188368	0.03	0.009
95.25	0.4974188368	0.03	0.009
96.45	0.4974188368	0.03	0.009
97.7	0.4974188368	0.03	0.009
98.93	0.4974188368	0.03	0.009
100.11	0.4974188368	0.03	0.009
101.31	0.4974188368	0.03	0.009
102.54	0.4974188368	0.03	0.009
103.76	0.4886921906	0.03	0.009
104.97	0.4886921906	0.03	0.009
106.21	0.4799655443	0.03	0.009
107.41	0.4799655443	0.03	0.009
108.61	0.4625122518	0.03	0.009
109.8	0.4625122518	0.03	0.009
111.06	0.4625122518	0.03	0.009
112.21	0.4625122518	0.03	0.009
113.45	0.4537856055	0.03	0.009
114.68	0.4450589593	0.03	0.009
115.88	0.4450589593	0.03	0.009
117.06	0.436332313	0.03	0.009
118.25	0.436332313	0.03	0.009
119.49	0.4276056667	0.03	0.009
120.72	0.4276056667	0.03	0.009
121.95	0.4188790205	0.03	0.009
123.13	0.4101523742	0.03	0.009
124.35	0.4101523742	0.03	0.009
125.56	0.4101523742	0.03	0.009
126.79	0.401425728	0.03	0.009
128.02	0.401425728	0.03	0.009
129.22	0.401425728	0.03	0.009
130.41	0.401425728	0.03	0.009
131.6	0.3926990817	0.03	0.009
132.84	0.3926990817	0.03	0.009
134.03	0.3926990817	0.03	0.009
135.22	0.3839724354	0.03	0.009
136.43	0.3839724354	0.03	0.009
137.63	0.3839724354	0.03	0.009
138.84	0.3839724354	0.03	0.009
140.08	0.3839724354	0.03	0.009
141.26	0.3752457892	0.03	0.009
142.51	0.3752457892	0.03	0.009
143.7	0.3752457892	0.03	0.009
144.9	0.3752457892	0.03	0.009
146.12	0.3839724354	0.03	0.009
147.31	0.3839724354	0.03	0.009
148.5	0.3752457892	0.03	0.009
149.75	0.3752457892	0.03	0.009
150.93	0.3752457892	0.03	0.009
152.14	0.3665191429	0.03	0.009
153.35	0.3665191429	0.03	0.009
154.55	0.3490658504	0.03	0.009
155.71	0.3403392041	0.03	0.009
156.94	0.3403392041	0.03	0.009
158.14	0.3403392041	0.03	0.009
159.35	0.3316125579	0.03	0.009
160.57	0.3316125579	0.03	0.009
161.77	0.3403392041	0.03	0.009
162.96	0.3141592654	0.03	0.009
164.19	0.3141592654	0.03	0.009
165.37	0.3141592654	0.03	0.009
166.61	0.3054326191	0.03	0.009
167.81	0.3054326191	0.03	0.009
169.01	0.2967059728	0.03	0.009
170.19	0.2967059728	0.03	0.009
171.39	0.2967059728	0.03	0.009
172.62	0.2879793266	0.03	0.009
173.79	0.2879793266	0.03	0.009
175.05	0.2879793266	0.03	0.009
176.24	0.2879793266	0.03	0.009
177.43	0.2879793266	0.03	0.009
178.64	0.2879793266	0.03	0.009
179.85	0.2879793266	0.03	0.009
