initial angle = 80º				
				
Method 1 - Formula				
time	current angle	period	tau	Q factor
2.6	1.396263402			
4.03	1.335176878	1.43		
5.36	1.291543646	1.33		
6.71	1.274090354	1.35		
8.02	1.239183769	1.31		
9.32	1.204277184	1.3		
10.69	1.178097245	1.37		
11.96	1.160643953	1.27		
13.27	1.14319066	1.31		
14.55	1.117010721	1.28		
15.9	1.099557429	1.35		
17.19	1.090830782	1.29		
18.45	1.07337749	1.26		
19.74	1.047197551	1.29		
21.05	1.00356432	1.31		
22.32	0.9861110274	1.27		
23.59	0.9599310886	1.27		
24.85	0.9250245036	1.26		
26.11	0.8988445648	1.26		
27.39	0.8639379797	1.28		
28.65	0.837758041	1.26		
29.93	0.8203047484	1.28		
31.2	0.8203047484	1.27		
32.48	0.8115781022	1.28		
33.71	0.8203047484	1.23		
34.98	0.8203047484	1.27		
36.23	0.8203047484	1.25		
37.48	0.8203047484	1.25		
38.73	0.8290313947	1.25		
39.95	0.8290313947	1.22		
41.22	0.8203047484	1.27		
42.47	0.8115781022	1.25		
43.69	0.8028514559	1.22		
44.94	0.7941248097	1.25		
46.18	0.7679448709	1.24		
47.44	0.7504915784	1.26		
48.68	0.7330382858	1.24		
49.89	0.7243116396	1.21		
51.12	0.7068583471	1.23		
52.4	0.6981317008	1.28		
53.65	0.6981317008	1.25		
54.87	0.6981317008	1.22		
56.09	0.6894050545	1.22		
57.34	0.6806784083	1.25		
58.56	0.671951762	1.22		
59.81	0.671951762	1.25		
61.01	0.671951762	1.2		
62.24	0.6632251158	1.23		
63.48	0.6632251158	1.24		
64.73	0.6544984695	1.25		
65.94	0.6457718232	1.21		
67.15	0.6457718232	1.21		
68.36	0.637045177	1.21		
69.61	0.637045177	1.25		
70.84	0.6195918845	1.23		
72.06	0.6195918845	1.22		
73.29	0.6108652382	1.23		
74.55	0.6021385919	1.26		
75.74	0.5846852994	1.19		
76.95	0.5759586532	1.21		
78.21	0.5672320069	1.26		
79.43	0.5585053606	1.22		
80.63	0.5497787144	1.2		
81.85	0.5410520681	1.22		
83.12	0.5410520681	1.27		
84.3	0.5323254219	1.18		
85.52	0.5235987756	1.22		
86.73	0.5148721293	1.21		
87.95	0.4974188368	1.22		
89.16	0.5148721293	1.21		
90.38	0.5061454831	1.22		
91.58	0.4974188368	1.2		
92.83	0.4974188368	1.25		
94.03	0.4974188368	1.2		
95.25	0.4974188368	1.22		
96.45	0.4974188368	1.2		
97.7	0.4974188368	1.25		
98.93	0.4974188368	1.23		
100.11	0.4974188368	1.18		
101.31	0.4974188368	1.2		
102.54	0.4974188368	1.23		
103.76	0.4886921906	1.22		
104.97	0.4886921906	1.21		
106.21	0.4799655443	1.24		
107.41	0.4799655443	1.2		
108.61	0.4625122518	1.2		
109.8	0.4625122518	1.19		
111.06	0.4625122518	1.26		
112.21	0.4625122518	1.15		
113.45	0.4537856055	1.24		
114.68	0.4450589593	1.23		
115.88	0.4450589593	1.2		
117.06	0.436332313	1.18		
118.25	0.436332313	1.19		
119.49	0.4276056667	1.24		
120.72	0.4276056667	1.23		
121.95	0.4188790205	1.23		
123.13	0.4101523742	1.18		
124.35	0.4101523742	1.22		
125.56	0.4101523742	1.21		
126.79	0.401425728	1.23		
128.02	0.401425728	1.23		
129.22	0.401425728	1.2		
130.41	0.401425728	1.19		
131.6	0.3926990817	1.19		
132.84	0.3926990817	1.24		
134.03	0.3926990817	1.19		
135.22	0.3839724354	1.19		
136.43	0.3839724354	1.21		
137.63	0.3839724354	1.2		
138.84	0.3839724354	1.21		
140.08	0.3839724354	1.24		
141.26	0.3752457892	1.18		
142.51	0.3752457892	1.25		
143.7	0.3752457892	1.19		CHECK OTHER SIDE ANGLE TOO AND AVERAGE BC CAMERAWORK IS SHODDY
144.9	0.3752457892	1.2		
146.12	0.3839724354	1.22		
147.31	0.3839724354	1.19		
148.5	0.3752457892	1.19		
149.75	0.3752457892	1.25		
150.93	0.3752457892	1.18		
152.14	0.3665191429	1.21		
153.35	0.3665191429	1.21		
154.55	0.3490658504	1.2		
155.71	0.3403392041	1.16		
156.94	0.3403392041	1.23		
158.14	0.3403392041	1.2		
159.35	0.3316125579	1.21		
160.57	0.3316125579	1.22		
161.77	0.3403392041	1.2		
162.96	0.3141592654	1.19		
164.19	0.3141592654	1.23		
165.37	0.3141592654	1.18		
166.61	0.3054326191	1.24		
167.81	0.3054326191	1.2		
169.01	0.2967059728	1.2		
170.19	0.2967059728	1.18		
171.39	0.2967059728	1.2		
172.62	0.2879793266	1.23		
173.79	0.2879793266	1.17		
175.05	0.2879793266	1.26		
176.24	0.2879793266	1.19		
177.43	0.2879793266	1.19		
178.64	0.2879793266	1.21		
179.85	0.2879793266	1.21		
