time	current angle	xerr	yerr
2.6	1.396263402	0.03	0.009
4.03	1.356993493	0.03	0.02
5.36	1.304633616	0.03	0.01
6.71	1.282817	0.03	0.009
8.02	1.247910415	0.03	0.009
9.32	1.208640507	0.03	0.009
10.69	1.178097245	0.03	0.009
11.96	1.160643953	0.03	0.009
13.27	1.147553983	0.03	0.009
14.55	1.121374044	0.03	0.009
15.9	1.108284075	0.03	0.009
17.19	1.103920752	0.03	0.01
18.45	1.077740813	0.03	0.009
19.74	1.060287521	0.03	0.02
21.05	1.038470905	0.03	0.03
22.32	1.016654289	0.03	0.03
23.59	0.9904743505	0.03	0.04
24.85	0.9642944117	0.03	0.04
26.11	0.9424777961	0.03	0.04
27.39	0.9162978573	0.03	0.05
28.65	0.8901179185	0.03	0.05
29.93	0.8770279491	0.03	0.06
31.2	0.8683013029	0.03	0.05
32.48	0.8639379797	0.03	0.05
33.71	0.8595746566	0.03	0.04
34.98	0.8508480103	0.03	0.03
36.23	0.8508480103	0.03	0.03
37.48	0.8508480103	0.03	0.03
38.73	0.8508480103	0.03	0.03
39.95	0.8421213641	0.03	0.02
41.22	0.837758041	0.03	0.02
42.47	0.8333947178	0.03	0.02
43.69	0.8203047484	0.03	0.02
44.94	0.807214779	0.03	0.01
46.18	0.7853981634	0.03	0.009
47.44	0.7635815477	0.03	0.01
48.68	0.7461282552	0.03	0.01
49.89	0.7330382858	0.03	0.009
51.12	0.7199483164	0.03	0.01
52.4	0.7155849933	0.03	0.009
53.65	0.7024950239	0.03	0.009
54.87	0.6981317008	0.03	0.009
56.09	0.6894050545	0.03	0.009
57.34	0.6806784083	0.03	0.009
58.56	0.671951762	0.03	0.009
59.81	0.6763150851	0.03	0.009
61.01	0.6763150851	0.03	0.009
62.24	0.6675884389	0.03	0.009
63.48	0.6675884389	0.03	0.009
64.73	0.6632251158	0.03	0.009
65.94	0.6588617926	0.03	0.01
67.15	0.6588617926	0.03	0.01
68.36	0.6544984695	0.03	0.009
69.61	0.6501351464	0.03	0.01
70.84	0.637045177	0.03	0.02
72.06	0.637045177	0.03	0.02
73.29	0.6283185307	0.03	0.02
74.55	0.6152285613	0.03	0.01
75.74	0.6021385919	0.03	0.02
76.95	0.5977752688	0.03	0.02
78.21	0.5890486225	0.03	0.02
79.43	0.5803219763	0.03	0.02
80.63	0.57159533	0.03	0.02
81.85	0.5672320069	0.03	0.02
83.12	0.5628686838	0.03	0.02
84.3	0.5541420375	0.03	0.02
85.52	0.5454153912	0.03	0.02
86.73	0.5410520681	0.03	0.03
87.95	0.5410520681	0.03	0.03
89.16	0.5410520681	0.03	0.03
90.38	0.5279620987	0.03	0.02
91.58	0.5235987756	0.03	0.03
92.83	0.5235987756	0.03	0.03
94.03	0.5192354525	0.03	0.02
95.25	0.5192354525	0.03	0.02
96.45	0.5148721293	0.03	0.02
97.7	0.5148721293	0.03	0.02
98.93	0.5148721293	0.03	0.02
100.11	0.5148721293	0.03	0.02
101.31	0.5148721293	0.03	0.02
102.54	0.5105088062	0.03	0.01
103.76	0.5061454831	0.03	0.02
104.97	0.5017821599	0.03	0.01
106.21	0.4974188368	0.03	0.02
107.41	0.4930555137	0.03	0.01
108.61	0.4799655443	0.03	0.02
109.8	0.4886921906	0.03	0.03
111.06	0.471238898	0.03	0.009
112.21	0.471238898	0.03	0.009
113.45	0.4668755749	0.03	0.01
114.68	0.4581489286	0.03	0.01
115.88	0.4537856055	0.03	0.009
117.06	0.4450589593	0.03	0.009
118.25	0.4450589593	0.03	0.009
119.49	0.436332313	0.03	0.009
120.72	0.436332313	0.03	0.009
121.95	0.4276056667	0.03	0.009
123.13	0.4188790205	0.03	0.009
124.35	0.4188790205	0.03	0.009
125.56	0.4145156973	0.03	0.009
126.79	0.4101523742	0.03	0.009
128.02	0.4101523742	0.03	0.009
129.22	0.4057890511	0.03	0.009
130.41	0.4057890511	0.03	0.009
131.6	0.401425728	0.03	0.009
132.84	0.401425728	0.03	0.009
134.03	0.401425728	0.03	0.009
135.22	0.3926990817	0.03	0.03
136.43	0.3970624048	0.03	0.04
137.63	0.3926990817	0.03	0.03
138.84	0.3970624048	0.03	0.04
140.08	0.3970624048	0.03	0.04
141.26	0.3883357586	0.03	0.07
142.51	0.3926990817	0.03	0.05
143.7	0.3926990817	0.03	0.03
144.9	0.3796091123	0.03	0.04
146.12	0.3839724354	0.03	0.04
147.31	0.3839724354	0.03	0.03
148.5	0.3752457892	0.03	0.03
149.75	0.3926990817	0.03	0.03
150.93	0.3796091123	0.03	0.009
152.14	0.3534291735	0.03	0.03
153.35	0.3447025273	0.03	0.06
154.55	0.335975881	0.03	0.03
155.71	0.335975881	0.03	0.04
156.94	0.3403392041	0.03	0.03
158.14	0.3316125579	0.03	0.03
159.35	0.3316125579	0.03	0.03
160.57	0.3272492347	0.03	0.03
161.77	0.3403392041	0.03	0.009
162.96	0.3185225885	0.03	0.009
164.19	0.3141592654	0.03	0.009
165.37	0.3141592654	0.03	0.009
166.61	0.3097959422	0.03	0.009
167.81	0.3054326191	0.03	0.009
169.01	0.301069296	0.03	0.009
170.19	0.301069296	0.03	0.009
171.39	0.301069296	0.03	0.01
172.62	0.2923426497	0.03	0.01
173.79	0.2923426497	0.03	0.01
175.05	0.2923426497	0.03	0.01
176.24	0.2923426497	0.03	0.01
177.43	0.2879793266	0.03	0.009
178.64	0.2836160034	0.03	0.009
179.85	0.2836160034	0.03	0.009
181.03	0.2836160034	0.03	0.009
182.2	0.2792526803	0.03	0.009
183.44	0.2792526803	0.03	0.009
184.63	0.2792526803	0.03	0.009
185.83	0.2748893572	0.03	0.009
187.05	0.2748893572	0.03	0.009
188.24	0.2705260341	0.03	0.009
189.43	0.2705260341	0.03	0.009
190.65	0.2661627109	0.03	0.009
191.88	0.2617993878	0.03	0.009
193.05	0.2617993878	0.03	0.009
