Object Tracking Data File Wed, Oct 15, 2025 11:15 AM
X (pixels)  	Y (pixels)  
1046.34	554.72
1065.87	487.98
1005.87	426.86
1040.07	353.88
978.33	299.67
967.10	227.21
951.86	186.39
950.76	186.29
948.66	182.21
920.83	113.55
0.00	0.00
914.31	117.92
915.05	117.87
951.22	181.26
926.30	201.65
948.63	168.02
875.58	147.18
921.73	197.69
979.41	197.66
951.98	181.90
951.64	167.53
937.42	171.69
944.35	204.89
916.67	132.02
0.00	0.00
948.76	181.59
951.14	183.21
953.05	183.30
945.51	113.00
907.15	63.37
853.96	4.60
804.12	2.90
739.03	4.30
694.18	22.20
682.06	22.10
608.55	7.16
562.97	15.27
548.40	14.89
471.74	3.79
416.96	13.34
385.26	18.28
367.22	25.72
352.18	26.00
337.28	28.29
326.70	31.21
318.26	27.34
309.80	24.75
307.86	27.96
310.50	27.06
311.59	23.15
313.04	29.18
313.94	25.59
312.75	27.55
312.45	22.87
315.38	26.05
314.36	26.71
318.16	24.46
318.33	24.80
316.25	27.70
320.00	25.04
320.65	25.56
319.51	19.41
317.74	24.94
313.26	28.70
313.23	24.27
311.77	24.22
312.39	24.16
312.64	24.38
313.75	26.83
316.00	27.22
318.37	24.80
320.33	24.92
272.89	23.11
211.52	5.95
139.92	2.83
83.88	3.59
138.10	3.54
88.72	3.57
109.41	3.17
100.59	2.40
104.78	2.43
89.89	3.16
24.55	3.00
7.05	18.02
16.81	3.33
10.70	25.66
24.53	3.54
14.00	19.12
5.40	38.58
13.55	3.99
19.86	3.96
6.13	24.22
9.58	17.51
10.60	17.15
13.94	5.28
16.87	3.10
21.76	3.73
8.48	18.13
33.82	2.31
90.82	1.41
27.65	3.51
3.62	26.28
25.30	4.64
98.02	2.74
23.41	3.59
21.42	3.12
23.49	3.23
21.70	3.81
88.49	3.43
88.24	3.32
100.71	3.64
96.64	3.26
24.65	3.47
93.41	2.38
28.72	3.36
10.37	17.38
36.54	3.00
29.15	3.05
103.78	3.20
116.62	2.09
