Object Tracking Data File Wed, Oct 15, 2025 11:27 AM
X (pixels)  	Y (pixels)  
565.90	317.80
567.76	315.20
568.89	320.05
570.66	321.88
571.18	321.45
577.22	318.67
528.80	241.92
532.50	236.81
534.21	242.07
533.44	244.34
536.62	245.81
540.75	246.20
544.28	248.45
551.93	248.60
553.91	248.48
550.33	254.96
552.56	256.71
554.26	259.43
560.53	253.81
562.15	255.19
558.68	258.77
560.60	255.17
555.56	256.81
558.74	256.50
557.13	261.69
562.89	262.23
563.25	256.64
560.09	255.46
560.17	252.98
559.30	250.55
565.80	248.37
565.45	247.80
572.24	246.56
569.88	248.38
573.40	251.84
575.29	247.07
575.30	248.05
571.53	248.10
573.38	248.36
574.30	250.40
569.94	253.02
571.96	257.23
575.72	253.91
580.33	255.66
580.42	256.57
574.06	259.14
574.64	260.11
571.23	259.06
573.28	256.58
566.14	260.09
569.64	259.40
568.16	256.23
568.13	258.97
561.75	256.25
560.00	255.18
556.57	253.46
557.76	251.55
552.99	257.79
550.75	253.04
550.68	252.89
547.15	250.57
544.87	251.00
549.80	254.09
550.30	258.58
546.43	262.32
543.21	260.25
537.77	263.12
538.93	264.16
541.34	265.22
544.36	266.33
543.44	272.13
543.69	267.94
546.09	272.19
543.02	272.10
544.21	271.27
547.20	269.30
547.24	273.95
550.29	276.31
549.92	272.34
545.77	279.72
546.43	284.93
548.41	281.49
548.84	285.90
549.60	285.54
552.21	285.69
552.39	281.55
548.82	286.13
550.36	287.92
546.76	289.57
547.27	287.43
544.93	285.48
546.18	283.41
544.68	284.37
543.96	288.00
546.63	285.22
544.26	286.84
547.73	283.32
544.93	282.06
546.88	278.22
547.44	284.07
547.21	282.13
554.20	284.20
557.41	281.17
554.39	281.17
551.44	276.42
556.43	276.38
558.35	278.33
557.56	279.77
558.35	280.25
557.86	279.51
559.32	280.26
558.13	278.27
554.87	281.51
551.20	284.66
553.15	281.24
555.16	275.46
554.48	275.56
552.50	275.31
550.33	280.33
549.79	276.88
