Object Tracking Data File Wed, Oct 15, 2025 11:29 AM
X (pixels)  	Y (pixels)  
343.85	142.40
346.01	143.60
344.88	139.78
348.71	138.62
344.26	136.49
343.18	131.88
349.57	131.97
344.97	132.77
349.54	135.27
352.68	138.10
354.11	141.28
354.44	145.81
350.10	144.67
346.63	148.17
348.54	146.41
344.91	146.62
345.53	149.30
349.14	147.45
352.46	149.38
352.63	145.57
351.49	145.53
349.69	146.78
343.95	143.60
343.62	143.26
344.12	143.75
347.19	141.85
346.77	144.16
342.86	145.09
347.94	148.92
352.22	151.47
347.28	154.42
349.21	153.63
352.21	152.04
353.56	152.52
353.36	148.86
356.70	148.11
353.89	153.39
354.30	148.74
357.27	143.40
359.43	145.78
363.01	150.46
362.84	151.70
370.43	151.55
371.58	150.04
369.96	153.48
372.94	155.83
378.05	156.91
377.85	155.98
373.94	149.95
369.11	150.83
368.71	150.07
373.85	150.33
375.96	151.69
374.51	141.88
374.11	141.07
374.96	141.08
371.00	146.53
374.55	145.55
378.30	149.93
372.25	149.25
367.33	147.85
367.99	148.20
369.45	147.22
371.09	145.77
370.70	141.12
372.02	138.13
365.16	137.40
361.21	146.47
359.77	144.49
359.90	143.73
360.96	143.78
357.84	144.26
358.96	144.30
355.49	150.80
350.60	152.40
355.73	154.80
356.47	155.86
355.23	156.40
353.31	151.61
357.56	147.08
362.27	148.12
360.90	150.50
359.70	149.02
360.50	151.07
357.74	153.68
354.04	150.51
359.23	147.30
357.02	147.86
357.79	149.24
357.06	153.82
361.86	154.46
361.00	159.38
363.61	158.44
365.88	158.69
365.34	159.72
371.30	155.63
368.19	154.03
367.08	150.41
367.32	148.51
363.73	145.96
366.73	145.71
370.74	146.52
369.54	146.77
374.34	148.22
371.74	151.64
374.62	149.06
369.90	156.94
366.00	160.03
364.63	157.46
366.06	154.30
361.97	153.68
357.82	148.87
352.46	144.69
355.73	143.02
352.70	141.96
356.69	143.46
358.27	148.75
360.59	141.07
358.69	138.73
353.72	135.60
