Object Tracking Data File Wed, Oct 15, 2025 11:34 AM
X (pixels)  	Y (pixels)  
444.63	283.87
440.93	281.41
447.15	277.99
451.80	278.80
455.99	278.32
459.21	273.43
461.05	275.23
457.62	275.80
454.89	269.83
459.55	264.98
459.96	259.91
461.14	262.50
459.18	262.83
456.16	263.33
461.45	259.33
456.20	258.14
451.40	257.39
453.47	251.51
449.74	247.52
444.71	248.48
441.45	239.63
438.81	243.97
440.13	243.57
439.66	245.19
438.74	246.53
437.95	248.97
444.15	249.32
445.78	253.29
443.07	254.76
444.11	251.92
443.67	250.11
449.96	245.93
453.77	241.36
457.63	236.08
456.15	238.84
461.24	246.03
462.97	250.60
469.22	247.03
469.38	242.99
474.44	243.43
473.45	244.07
477.29	243.96
479.56	245.48
477.86	240.79
476.06	241.31
473.29	244.37
474.33	246.23
476.36	251.30
477.35	254.43
477.60	259.71
478.05	259.58
481.16	261.19
480.95	260.76
475.39	258.67
477.55	259.85
476.19	271.29
478.02	277.33
478.90	277.45
481.31	270.80
478.84	272.65
475.79	275.88
476.70	275.61
474.35	271.42
470.42	272.77
476.06	272.46
475.66	276.73
477.21	279.07
476.96	277.64
468.78	282.85
467.39	283.14
469.63	287.05
468.23	288.67
470.30	288.79
476.14	287.81
480.47	283.66
474.60	285.75
479.75	284.91
477.81	283.48
468.40	279.42
468.08	281.05
468.77	277.49
467.41	273.86
475.71	275.78
471.55	274.32
472.22	271.93
472.31	264.65
472.10	263.56
476.51	265.07
478.55	275.00
485.61	277.84
484.34	278.94
485.16	278.94
485.09	278.66
482.38	279.49
481.66	279.46
475.60	281.24
477.97	281.48
484.86	278.79
486.20	277.84
484.34	271.76
484.95	273.79
488.51	270.76
492.43	271.12
491.30	266.85
497.68	261.83
501.02	264.01
501.43	262.45
501.19	264.39
492.24	265.35
487.59	269.57
488.51	270.66
489.07	267.97
488.40	267.53
481.44	266.74
481.57	258.84
486.12	257.04
487.25	256.15
480.42	257.47
475.81	256.54
470.06	254.49
