Object Tracking Data File Wed, Oct 15, 2025 11:47 AM
X (pixels)  	Y (pixels)  
1056.48	45.86
1056.32	42.84
1133.84	23.45
1139.45	28.66
1134.77	26.34
1138.22	26.78
1131.37	30.16
1125.66	30.40
1119.86	30.45
1117.09	31.54
1113.34	27.84
1111.76	27.37
1111.41	31.55
1061.11	33.31
1059.21	36.53
1056.89	40.18
1058.96	38.65
1066.24	36.59
1067.30	35.44
1066.16	35.72
1061.81	32.77
1062.33	36.73
1065.21	31.37
1063.17	28.05
1062.98	25.85
1063.49	26.57
1062.04	28.51
1059.42	29.78
1058.23	30.54
1061.74	34.49
1059.65	31.49
1059.35	30.21
1065.10	22.47
1058.77	23.20
1055.83	25.01
1056.97	24.59
1059.72	25.77
1062.84	31.71
1063.93	30.63
1130.38	29.99
1128.31	29.54
1060.14	30.67
1058.19	33.47
1061.03	30.47
1061.86	31.46
1061.53	30.83
1056.73	28.88
1056.31	25.05
1052.64	25.03
1055.07	25.98
1054.92	29.13
1054.21	28.78
1053.88	30.14
1058.93	19.98
1066.93	19.80
1064.03	23.19
1061.30	21.86
1061.44	24.38
1058.40	25.52
1058.61	21.65
1060.41	17.57
1059.54	21.73
1059.65	25.61
1057.62	26.78
1055.06	24.71
1052.11	24.12
1051.04	24.90
1048.36	30.81
1044.59	30.29
1044.82	31.75
1043.03	31.16
1040.75	33.66
1043.05	32.91
1042.44	34.78
1046.18	31.67
1123.49	31.72
1122.13	30.14
1119.62	36.79
1041.42	41.37
1032.23	41.56
1032.38	41.78
1030.41	41.79
1035.19	45.81
1037.36	45.30
1035.10	48.79
1038.10	49.95
1037.11	46.58
1035.21	47.04
1033.44	48.79
1037.97	46.25
1036.33	45.22
1031.55	48.18
1030.72	44.50
1032.40	45.97
1026.76	47.24
1024.45	46.10
1024.97	45.96
1024.34	42.67
1016.26	43.10
1019.78	45.76
1020.64	45.79
1019.97	45.26
1023.11	44.31
1022.56	48.54
1026.49	49.59
1026.50	45.48
1029.14	42.23
1024.03	40.37
1023.87	42.57
1021.59	37.73
1017.39	40.58
1014.35	41.90
1020.18	40.72
1020.02	37.11
1010.81	33.95
1006.20	33.94
1003.02	40.54
1002.36	36.01
997.26	38.54
996.10	38.87
